nombre,categoria, precio ,stock,ml,tipo,aroma,marca,imagen 
ABERCROMBIE & FITCH FIRST INSTINCT,caballero, $922.00 ,0,100,EDT,Amaderada,ABERCROMBIE & FITCH,https://intranet.ufra.com.mx/img/products/catalog/16310/16310_1.jpg
ABERCROMBIE & FITCH FIERCE COLOGNE,caballero," $1186.00 ",2,100,EDC,Amaderada,ABERCROMBIE & FITCH,https://intranet.ufra.com.mx/img/products/catalog/16958/16958_1.jpg
ADIDAS VICTORY LEAGUE,caballero," $314.00 ",1,100,EDT,Amaderada,ADIDAS,https://intranet.ufra.com.mx/img/products/catalog/32205/32205_1.jpg
AFNAN SUPREMACY NOT ONLY INTENSE,caballero," $1680.00 ",2,100,EDP,Amaderada,AFANA,https://http2.mlstatic.com/D_NQ_NP_955910-MLU73423373691_122023-O.webp
AL HARAMAIN AMBER OUD BLUE EDITION,caballero," $1668.00 ",1,100,PARFUM,Amaderada,AL HARAMAIN,https://ss701.liverpool.com.mx/xl/1124632028.jpg
AZLAN OUD BLEU,caballero," $1932.00 ",2,100,EDP,Amaderada,AL HARAMAIN,https://intranet.ufra.com.mx/img/products/catalog/AHP1349/AHP1349_1.jpg
ANIMALE FOR MEN,caballero, $775.00 ,0,100,EDT,Amaderada,ANIMALE,https://intranet.ufra.com.mx/img/products/catalog/068163/068163_1.jpg
KING OF SEDUCTION,caballero, $868.00 ,1,100,EDT,Amaderada,ANTONIO BANDERAS,https://cdn11.bigcommerce.com/s-2vt02okold/images/stencil/1280x1280/products/3606/7162/HKINS__49993.1731099904.jpg?c=1
THE ICON,caballero," $1046.00 ",1,100,EDT,Amaderada,ANTONIO BANDERAS,https://intranet.ufra.com.mx/img/products/catalog/65167321/65167321_1.jpg
THE ICON,caballero," $1201.00 ",1,200,EDT,Amaderada,ANTONIO BANDERAS,65168034
THE ICON ELIXIR ,caballero," $1085.00 ",1,100,EDP,Amaderada,ANTONIO BANDERAS,65187449
THE ICON ATTITUDE,caballero," $1046.00 ",1,100,EDP,Amaderada,ANTONIO BANDERAS,65198342
KING OF SEDUCTION ABSOLUTE,caballero, $868.00 ,1,100,EDT,Amaderada,ANTONIO BANDERAS,65101608
CLUB DE NUIT BLUE ICONIC,caballero," $1790.00 ",1,105,EDT,Acuatica,ARMAF,16415
EMPORIO ARMANI,caballero," $2267.00 ",1,100,EDT,Amaderada,GIORGIO ARMANI,https://www.perfumesfinos.mx/cdn/shop/files/3614273070249_2793682f-c687-4220-b5f1-ab54d959dbbe.jpg?v=1728988592&width=1024
BENETTON FOREVER GREEN MAN,caballero," $1085.00 ",2,100,EDT,Amaderada,BENETTON ,65201914
COLORS MEN GREEN,caballero," $1085.00 ",1,100,EDT,Amaderada,BENETTON,65131031
